,Unnamed: 0,代碼,公司名稱
286,286,2363,矽統
287,287,2364,倫飛
288,288,2365,昆盈
289,289,2366,亞旭
290,290,2367,燿華
291,291,2368,金像電子
292,292,2369,菱生
293,293,2370,匯僑工業
294,294,2371,大同
295,295,2373,震旦行
296,296,2374,佳能
297,297,2375,智寶
298,298,2376,技嘉
299,299,2377,微星
300,300,2378,鴻運電子
301,301,2379,瑞昱
302,302,2380,虹光
303,303,2381,華宇
304,304,2382,廣達
305,305,2383,台光電子
306,306,2384,勝華
307,307,2385,群光
308,308,2386,國電
309,309,2387,精元
310,310,2388,威盛
311,311,2389,世昕
312,312,2390,云辰
313,313,2391,合勤
314,314,2392,正崴
315,315,2393,億光
316,316,2394,普立爾
317,317,2395,研華
318,318,2396,精碟
319,319,2397,友通資訊
320,320,2398,博達
321,321,2399,映泰
322,322,2401,凌陽
323,323,2402,毅嘉
324,324,2403,友尚
325,325,2404,漢唐
326,326,2405,浩鑫
327,327,2406,國碩
328,328,2407,陞技
329,329,2408,南科
330,330,2409,友達
331,331,2410,普大
332,332,2411,飛瑞
333,333,2412,中華電
334,334,2413,環科
335,335,2414,精技
336,336,2415,錩新
337,337,2416,世平
338,338,2417,圓剛
339,339,2418,雅新
340,340,2419,仲琦
341,341,2420,新巨
342,342,2421,建準
343,343,2422,國聯
344,344,2423,固緯
345,345,2424,隴華
346,346,2425,承啟
347,347,2426,鼎元
348,348,2427,三商電
349,349,2428,興勤
350,350,2429,永兆
351,351,2430,燦坤
352,352,2431,聯昌
353,353,2432,倚天
354,354,2433,互盛電
355,355,2434,統懋
356,356,2435,台路
357,357,2436,偉詮電
358,358,2437,旺詮
359,359,2438,英誌
360,360,2439,美律
361,361,2440,太空梭
362,362,2441,超豐
363,363,2442,美齊
364,364,2443,利碟
365,365,2444,友旺
366,366,2445,南方
367,367,2446,全懋
368,368,2447,鼎新
369,369,2448,晶電
370,370,2449,京元電
371,371,2450,神腦
372,372,2451,創見
373,373,2452,乾坤
374,374,2453,凌群
375,375,2454,聯發科
376,376,2455,全新
